Field,Value
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.149715
NormalizedEBITDA,30653000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,22956000000.0
ReconciledDepreciation,2653000000.0
ReconciledCostOfRevenue,49071000000.0
EBITDA,30653000000.0
EBIT,28000000000.0
NetInterestIncome,-18000000.0
InterestExpense,1002000000.0
InterestIncome,984000000.0
NormalizedIncome,22956000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,22956000000.0
TotalExpenses,62529000000.0
TotalOperatingIncomeAsReported,26969000000.0
DilutedAverageShares,15672400000.0
BasicAverageShares,15599434000.0
DilutedEPS,1.46
BasicEPS,1.47
DilutedNIAvailtoComStockholders,22956000000.0
NetIncomeCommonStockholders,22956000000.0
NetIncome,22956000000.0
NetIncomeIncludingNoncontrollingInterests,22956000000.0
NetIncomeContinuousOperations,22956000000.0
TaxProvision,4042000000.0
PretaxIncome,26998000000.0
OtherIncomeExpense,47000000.0
OtherNonOperatingIncomeExpenses,47000000.0
NetNonOperatingInterestIncomeExpense,-18000000.0
InterestExpenseNonOperating,1002000000.0
InterestIncomeNonOperating,984000000.0
OperatingIncome,26969000000.0
OperatingExpense,13458000000.0
ResearchAndDevelopment,7307000000.0
SellingGeneralAndAdministration,6151000000.0
GrossProfit,40427000000.0
CostOfRevenue,49071000000.0
TotalRevenue,89498000000.0
OperatingRevenue,89498000000.0
